datetime,PM25_UG_PER_CUBIC_METER,TEMPERATURE_CELSIUS,WIND_SPEED_METERS_PER_SECOND,OZONE_PPM,NO2_PPB,CO_PPM,SO2_PPB
2019-04-18,11.333333333333334,20.564429999999998,1.4993913333333335,0.059666666666666666,18.707639,0.4395833333333334,0.329167
2019-04-19,19.0,16.247685,1.8680765,0.0435,12.2375,0.31666649999999996,0.154167
2019-04-20,8.45,15.208334,1.803771,0.04,6.2166665000000005,0.21666649999999998,0.037500000000000006
2019-04-21,6.833333333333333,15.630787666666668,1.3472015,0.050666666666666665,5.521528,0.22986116666666667,0.1
2019-04-22,12.8,16.531250999999997,1.6322895,0.038,14.7395835,0.3354165,0.2375
2019-04-23,13.700000000000001,19.39814966666667,1.6440785,0.043666666666666666,13.621074666666667,0.29365933333333333,0.2875
2019-04-24,13.599999999999998,19.859788428571427,1.411507,0.05385714285714286,14.31206,0.3123708571428572,0.183333
2019-04-25,14.399999999999999,20.443673,1.7148145000000001,0.04866666666666667,10.657548,0.23369566666666666,0.145833
2019-04-26,14.1,19.21605,1.9816829999999999,0.04900000000000001,9.011352333333333,0.240942,0.120833
2019-04-27,15.285714285714286,17.343254857142856,1.1892953333333334,0.04814285714285715,6.898369428571429,0.24883542857142857,0.0625
2019-04-28,8.6,18.520062666666664,1.599065,0.041666666666666664,5.927053333333333,0.18743933333333332,0.0875
2019-04-29,5.8,15.442901999999998,1.9120190000000001,0.03466666666666667,6.079227333333333,0.17210133333333333,0.045832999999999985
2019-04-30,5.442857142857143,15.266865571428571,1.4958186666666666,0.04171428571428571,6.686309428571429,0.2085144285714286,0.04166700000000001
2019-05-01,8.25,16.5520845,2.315,0.0465,7.5066120000000005,0.174638,0.045832999999999985
2019-05-02,12.233333333333334,17.283951666666667,1.65694,0.049999999999999996,11.288038,0.28300933333333333,0.07777800000000001
2019-05-03,14.042857142857143,18.115742,1.3375558333333333,0.057999999999999996,11.223584,0.30340585714285717,0.145833
2019-05-04,13.799999999999999,18.602625,1.8316365,0.05733333333333334,5.706401333333333,0.200121,0.11666700000000002
2019-05-05,10.533333333333333,16.855711333333332,2.073854,0.049666666666666665,3.808514333333333,0.14963766666666667,0.07916699999999999
2019-05-06,4.128571428571428,16.026785999999998,1.5783441666666667,0.04042857142857143,5.660766142857143,0.181651,0.07916699999999999
2019-05-07,4.633333333333333,16.097993666666667,1.677303,0.034333333333333334,6.56363,0.15664266666666668,0.133333
2019-05-08,5.266666666666667,17.070989,1.816632,0.037,6.387439666666666,0.16521733333333333,0.120833
2019-05-09,5.333333333333333,16.1574075,0.9714427999999999,0.035333333333333335,8.9389795,0.20978266666666667,0.158333
2019-05-10,3.4,15.837192,1.23038,0.03233333333333333,10.118176666666665,0.22481900000000002,0.145833
2019-05-11,5.066666666666666,18.435186333333334,1.744824,0.043000000000000003,8.453200666666667,0.2634056666666667,0.191667
2019-05-12,8.157142857142857,18.986773,1.4082916666666667,0.053,5.881547571428571,0.217029,0.11249999999999999
2019-05-13,9.266666666666666,19.592592333333332,1.6740884999999999,0.04766666666666667,6.602174000000001,0.17620766666666668,0.04999999999999996
2019-05-14,10.933333333333332,19.618829,1.7298195,0.05333333333333334,8.068176333333334,0.20114733333333334,0.0625
2019-05-15,9.9,17.093916,1.412579,0.04342857142857143,8.084896857142857,0.2166425714285714,0.08333299999999999
2019-05-16,4.8,15.322671666666665,3.042335,0.044333333333333336,5.874034000000001,0.12361133333333334,0.058333000000000024
2019-05-17,6.666666666666667,15.080247,2.0309844999999997,0.04533333333333334,8.636171666666668,0.19999999999999998,0.133333
2019-05-18,8.557142857142857,16.20866442857143,1.489031,0.05128571428571428,8.293685142857143,0.22448242857142858,0.191667
2019-05-19,3.8666666666666667,13.089505666666668,2.779072,0.04533333333333334,3.0073670000000003,0.1125,0.016666999999999987
2019-05-20,3.8000000000000003,14.892747,2.5293520000000003,0.04733333333333334,5.527083,0.12361133333333334,0.07083299999999998
2019-05-21,6.483333333333333,15.624615,1.8223481666666668,0.042666666666666665,6.533484166666667,0.20899766666666666,0.1375
2019-05-22,6.6,15.651622,1.7812640000000002,0.0385,11.110417,0.2270835,0.129167
2019-05-23,7.2,15.543983,1.751255,0.036,9.054167,0.229167,0.15013960172473567
2019-05-24,7.4799999999999995,16.4606482,1.4768843999999999,0.0408,10.477500000000001,0.32446980000000003,0.19344772416348177
2019-05-25,8.1,16.2581025,1.673016,0.0395,9.691666999999999,0.27708299999999997,0.179167
2019-05-26,5.15,14.349537,2.1467335,0.041499999999999995,4.293749999999999,0.164583,0.095833
2019-05-27,5.75,14.374999833333334,1.2235918333333333,0.04716666666666666,6.024999833333333,0.240278,0.120833
2019-05-28,7.9,16.547452999999997,1.5390465,0.038,12.883333,0.31875,0.233333
2019-05-29,9.95,18.0231475,1.6933799999999999,0.0395,13.335984500000002,0.300189,0.275
2019-05-30,12.916666666666666,18.874054,1.2389538,0.05433333333333334,10.823313,0.2969486666666667,0.1875
2019-05-31,11.666666666666666,18.683641333333334,1.5883475,0.052333333333333336,8.614718,0.2526623333333333,0.10833300000000001
2019-06-01,7.8999999999999995,18.34876733333333,1.848785,0.04666666666666666,5.673127999999999,0.23345433333333335,0.0875
2019-06-02,6.642857142857143,17.609788714285713,1.3161205,0.045714285714285714,5.259989714285715,0.24875771428571428,0.095833
2019-06-03,7.666666666666667,19.679013666666666,1.780192,0.048666666666666664,7.004408000000001,0.25295866666666667,0.10833300000000001
